,trades,winrate_%,avg_win_R,avg_loss_R,expectancy_R,profit_factor,max_drawdown_%,cagr_%,sharpe_annual,trades_per_year,max_consec_losses
SPX,153.0,69.3,0.318,-0.509,0.0637,1.407,-3.2,0.63,0.41,10.1,3.0
NQ,163.0,73.6,0.313,-0.676,0.052,1.291,-3.1,0.54,0.32,10.6,4.0
