,MR,TREND
2005-08-31,0.04957532006071766,
2005-09-30,0.5370356726515866,
2005-10-31,-1.9771351532298813,
2005-11-30,0.0,
2005-12-31,0.9473100971115983,0.5788820562460111
2006-01-31,-0.09503855718338372,-0.8947155466209824
2006-02-28,0.10367016117239408,-1.0284297575508456
2006-03-31,-0.2591163026377118,0.0
2006-04-30,0.7641562910649099,-0.3971887457595421
2006-05-31,-1.9438312036007734,-2.0800898911304118
2006-06-30,0.0,0.0
2006-07-31,0.0,0.0
2006-08-31,0.0,0.0
2006-09-30,0.5414202069334448,0.0
2006-10-31,0.7713257377508352,0.0
2006-11-30,0.6962406092425288,0.0
2006-12-31,0.7754117848278954,2.039368613741432
2007-01-31,-0.06240879067986542,-1.04386278926902
2007-02-28,0.8647554643544821,2.4876283973864535
2007-03-31,-1.871069899210438,0.0
2007-04-30,0.1414500927028296,0.0
2007-05-31,0.5556507944389256,0.0
2007-06-30,0.7117971223964012,0.5858069875077241
2007-07-31,-1.3786824526342143,0.6447845033036512
2007-08-31,0.0,0.0
2007-09-30,0.30546738196833273,0.0
2007-10-31,-0.5488019420787567,-0.9946748732258184
2007-11-30,0.0,0.20506445186006814
2007-12-31,0.45671336654076494,0.0
2008-01-31,-1.0340448692225788,0.0
2008-02-29,0.0,0.0
2008-03-31,0.0,0.0
2008-04-30,0.0,0.0
2008-05-31,0.20226702657719806,0.0
2008-06-30,0.0,-0.5159268195152734
2008-07-31,0.0,0.0
2008-08-31,0.19870950199975498,0.0
2008-09-30,0.0,0.0
2008-10-31,0.0,0.0
2008-11-30,0.0,0.0
2008-12-31,0.0,0.0
2009-01-31,0.0,0.0
2009-02-28,0.0,0.0
2009-03-31,0.0,0.0
2009-04-30,0.0,0.0
2009-05-31,-0.04249005219337171,0.0
2009-06-30,0.32418266047914834,-0.17226186389788614
2009-07-31,-0.277005025032758,0.6126303804754248
2009-08-31,0.4464825309379711,0.4412988951827827
2009-09-30,1.2971589033791622,0.0
2009-10-31,0.7795936274626856,0.0
2009-11-30,0.21320218948278571,1.0139823777621366
2009-12-31,0.22894488705585422,0.0
2010-01-31,-0.5506596841877812,0.7005934617651594
2010-02-28,-0.010011528411364285,0.0
2010-03-31,0.0,0.0
2010-04-30,1.0357155160443927,0.0
2010-05-31,0.0,1.5672486297195647
2010-06-30,0.0,0.0
2010-07-31,0.0,0.0
2010-08-31,0.0,0.0
2010-09-30,0.0,0.0
2010-10-31,0.6332642543371696,0.0
2010-11-30,-0.425347476285629,0.0
2010-12-31,-0.09967586068300463,0.0
2011-01-31,0.0,0.0
2011-02-28,-0.37621774113565604,0.0
2011-03-31,-0.3048993359088355,7.271530334080195
2011-04-30,1.3740538750916516,0.0
2011-05-31,0.9922319726286015,-1.3762523725628666
2011-06-30,-0.0967711212803842,0.0
2011-07-31,-0.39517609454148783,-1.035480363060082
2011-08-31,0.0,-1.0297961046525292
2011-09-30,0.0,0.0
2011-10-31,0.0,0.0
2011-11-30,0.2446634785801759,-1.645897374108738
2011-12-31,0.0,0.0
2012-01-31,0.0,0.0
2012-02-29,-0.03836969783373766,0.0
2012-03-31,1.3781591482479,0.0
2012-04-30,0.9410058782059089,4.4104372580241415
2012-05-31,-1.4529311809630476,0.0
2012-06-30,0.007982570080219034,0.0
2012-07-31,0.6956117987887219,0.0
2012-08-31,0.02313246323934038,0.0
2012-09-30,0.5841489609790401,0.0
2012-10-31,0.7381142491992156,1.1273724787236623
2012-11-30,0.0,0.0
2012-12-31,0.0,-2.051405972253329
2013-01-31,0.8731215434969868,0.0
2013-02-28,0.0,0.4983178604029548
2013-03-31,0.19484444333833312,0.0
2013-04-30,-1.3418913326272681,0.0
2013-05-31,0.0,0.0
2013-06-30,1.6213534637279494,3.276620471274496
2013-07-31,0.19847374192909809,0.0
2013-08-31,0.025898513603861473,-0.7614162258643106
2013-09-30,0.12246670242320903,-1.0241001685545488
2013-10-31,1.3551027579761894,-0.33968275429363587
2013-11-30,0.16486119442365238,0.0
2013-12-31,0.23514492528173261,0.6672733977192884
2014-01-31,1.0626517262251154,0.9294145629447341
2014-02-28,0.15695472599623073,0.0
2014-03-31,-0.05219895532181018,-0.19491331971773093
2014-04-30,0.3342796060277539,-0.29734872083246844
2014-05-31,0.0,0.0
2014-06-30,0.22248708059017747,0.0
2014-07-31,0.6871521196268597,0.0
2014-08-31,0.020677745804706396,0.6729086982975544
2014-09-30,0.3758759532321393,-0.47873424756730476
2014-10-31,1.0980825020880678,2.423360786196186
2014-11-30,0.0,0.0
2014-12-31,-0.6188652084592967,0.09353320269014606
2015-01-31,-0.08029899485194708,-1.0129467010599091
2015-02-28,0.0,0.0
2015-03-31,0.6214257216228698,-0.6443111547921628
2015-04-30,0.0,0.0
2015-05-31,0.9309271933340517,-1.02261129613368
2015-06-30,0.7829837375058954,-0.9107262474273338
2015-07-31,0.8556965287493523,0.0
2015-08-31,-0.19293811716420206,-1.0186311114749131
2015-09-30,0.0,0.0
2015-10-31,0.0,0.0
2015-11-30,-1.6688148995027108,-0.7218698548420324
2015-12-31,-0.0004608107304810427,0.38816303690206366
2016-01-31,-1.0172420854614805,0.0
2016-02-29,0.0,0.0
2016-03-31,0.0,0.0
2016-04-30,0.0,0.03644840994253611
2016-05-31,-0.42099062760686,0.0
2016-06-30,-0.129390886734878,0.02294787844722811
2016-07-31,0.0,0.0
2016-08-31,0.4154371722175565,0.0
2016-09-30,0.46418429362024133,0.4681844958333687
2016-10-31,0.14042137421783352,0.0
2016-11-30,-1.153751221781496,-1.022361382588062
2016-12-31,0.33141865976748397,0.0
2017-01-31,0.23836863433507038,0.0
2017-02-28,0.25083220376786275,0.0
2017-03-31,0.3776265148136797,2.2728696812902096
2017-04-30,0.15238265896654668,0.0
2017-05-31,1.2787701562273774,-1.0192920095140674
2017-06-30,0.3968512111167462,0.0
2017-07-31,-0.45750233802724577,3.789551413772834
2017-08-31,1.8310964109730432,-0.3221110076386936
2017-09-30,0.0606084832346898,-0.7107291492102231
2017-10-31,0.0,0.0
2017-11-30,0.005869752066914542,0.0
2017-12-31,0.18171194725590734,0.0
2018-01-31,0.6291742453710698,0.0
2018-02-28,0.0,8.071934256007085
2018-03-31,-1.3294230706545562,-1.0086669291381363
2018-04-30,0.0,0.0
2018-05-31,0.0,0.0
2018-06-30,0.15112964262376566,0.0
2018-07-31,0.07084840449659073,0.0
2018-08-31,0.8477012788225111,0.0
2018-09-30,0.6328626673523143,0.0
2018-10-31,-1.9678970681724457,0.016815144848843055
2018-11-30,0.0,0.0
2018-12-31,0.0,0.0
2019-01-31,0.0,0.0
2019-02-28,0.0,0.0
2019-03-31,0.5570949753759007,0.0
2019-04-30,0.0,0.0
2019-05-31,0.5939428317596829,1.3356454771139554
2019-06-30,0.4875012576384401,0.0
2019-07-31,0.8460143365752861,0.0
2019-08-31,-2.085132308717877,-1.0483491989243736
2019-09-30,0.0,0.0
2019-10-31,0.0,0.0
2019-11-30,0.0,0.0
2019-12-31,2.170306894387841,0.0
2020-01-31,0.8219039326805553,0.0
2020-02-29,-3.0245050830428277,4.125711309106865
2020-03-31,0.0,
2020-04-30,0.16069928849716916,
