time,open,high,low,close,volume
2005-01-03 00:00:00+00:00,4034.00000,4049.90000,4032.00000,4049.90000,41
2005-01-04 00:00:00+00:00,4047.90000,4066.90000,4013.20000,4029.10000,151
2005-01-05 00:00:00+00:00,4027.10000,4035.20000,4015.30000,4021.30000,123
2005-01-06 00:00:00+00:00,4023.30000,4048.40000,4020.40000,4046.40000,119
2005-01-07 00:00:00+00:00,4044.40000,4066.40000,4044.40000,4060.40000,47
2005-01-09 00:00:00+00:00,4058.90000,4060.90000,4050.90000,4052.90000,26
2005-01-10 00:00:00+00:00,4054.90000,4084.00000,4054.90000,4082.00000,87
2005-01-11 00:00:00+00:00,4084.00000,4086.00000,4027.20000,4055.20000,162
2005-01-12 00:00:00+00:00,4057.20000,4085.30000,4050.40000,4079.30000,116
2005-01-13 00:00:00+00:00,4077.40000,4077.40000,4042.60000,4046.60000,136
2005-01-14 00:00:00+00:00,4047.60000,4059.60000,4043.60000,4047.60000,50
2005-01-16 00:00:00+00:00,4072.00000,4080.00000,4068.00000,4070.00000,32
2005-01-17 00:00:00+00:00,4072.00000,4081.20000,4060.10000,4079.20000,71
2005-01-18 00:00:00+00:00,4081.20000,4082.20000,4037.30000,4057.40000,147
2005-01-19 00:00:00+00:00,4054.40000,4056.40000,4010.70000,4012.70000,238
2005-01-20 00:00:00+00:00,4014.70000,4028.70000,4007.80000,4016.80000,182
2005-01-21 00:00:00+00:00,4018.80000,4032.80000,4016.80000,4022.90000,46
2005-01-23 00:00:00+00:00,4018.30000,4032.30000,4018.30000,4026.30000,35
2005-01-24 00:00:00+00:00,4028.30000,4051.40000,4022.40000,4051.40000,147
2005-01-25 00:00:00+00:00,4053.40000,4062.50000,4043.50000,4058.60000,88
2005-01-26 00:00:00+00:00,4063.60000,4081.70000,4057.70000,4081.70000,75
2005-01-27 00:00:00+00:00,4079.70000,4110.80000,4077.70000,4094.90000,175
2005-01-28 00:00:00+00:00,4096.80000,4102.80000,4075.90000,4075.90000,57
2005-01-30 00:00:00+00:00,4080.40000,4090.40000,4076.40000,4084.40000,29
2005-01-31 00:00:00+00:00,4086.40000,4106.50000,4075.40000,4102.50000,194
2005-02-01 00:00:00+00:00,4104.50000,4124.60000,4097.60000,4115.70000,141
2005-02-02 00:00:00+00:00,4113.70000,4135.80000,4113.70000,4124.80000,138
2005-02-03 00:00:00+00:00,4126.80000,4138.80000,4117.00000,4127.00000,142
2005-02-04 00:00:00+00:00,4129.00000,4148.00000,4127.00000,4146.00000,59
2005-02-06 00:00:00+00:00,4161.40000,4163.40000,4157.40000,4161.40000,37
2005-02-07 00:00:00+00:00,4163.40000,4169.50000,4149.60000,4153.60000,149
2005-02-08 00:00:00+00:00,4155.60000,4173.80000,4147.60000,4159.80000,142
2005-02-09 00:00:00+00:00,4161.80000,4161.80000,4134.00000,4147.00000,143
2005-02-10 00:00:00+00:00,4145.00000,4167.10000,4135.00000,4157.10000,122
2005-02-11 00:00:00+00:00,4159.10000,4163.10000,4146.20000,4148.20000,64
2005-02-13 00:00:00+00:00,4164.60000,4170.60000,4162.60000,4168.60000,25
2005-02-14 00:00:00+00:00,4166.60000,4166.60000,4125.70000,4140.90000,193
2005-02-15 00:00:00+00:00,4142.80000,4161.00000,4125.90000,4143.00000,161
2005-02-16 00:00:00+00:00,4145.00000,4149.20000,4122.10000,4135.20000,183
2005-02-17 00:00:00+00:00,4137.20000,4154.20000,4130.40000,4136.40000,143
2005-02-18 00:00:00+00:00,4138.40000,4157.40000,4138.40000,4155.40000,90
2005-02-20 00:00:00+00:00,4148.90000,4158.90000,4148.90000,4152.90000,22
2005-02-21 00:00:00+00:00,4150.90000,4160.00000,4142.00000,4147.00000,70
2005-02-22 00:00:00+00:00,4148.00000,4151.10000,4103.30000,4112.20000,163
2005-02-23 00:00:00+00:00,4113.20000,4120.40000,4096.40000,4107.40000,172
2005-02-24 00:00:00+00:00,4109.40000,4109.40000,4065.50000,4097.60000,196
2005-02-25 00:00:00+00:00,4095.60000,4124.60000,4092.60000,4119.60000,71
2005-02-27 00:00:00+00:00,4138.10000,4160.10000,4138.10000,4156.10000,77
2005-02-28 00:00:00+00:00,4154.10000,4166.10000,4139.20000,4156.20000,197
2005-03-01 00:00:00+00:00,4154.20000,4198.40000,4154.20000,4196.40000,212
2005-03-02 00:00:00+00:00,4194.40000,4194.50000,4174.40000,4191.60000,179
2005-03-03 00:00:00+00:00,4193.60000,4227.70000,4186.60000,4223.70000,218
2005-03-04 00:00:00+00:00,4225.70000,4230.70000,4211.80000,4215.80000,99
2005-03-06 00:00:00+00:00,4247.20000,4251.20000,4239.20000,4246.20000,32
2005-03-07 00:00:00+00:00,4247.20000,4249.40000,4231.30000,4244.40000,200
2005-03-08 00:00:00+00:00,4242.40000,4251.50000,4228.60000,4240.60000,173
2005-03-09 00:00:00+00:00,4242.60000,4253.60000,4213.80000,4218.80000,205
2005-03-10 00:00:00+00:00,4219.80000,4232.90000,4198.90000,4203.90000,253
2005-03-11 00:00:00+00:00,4201.90000,4214.00000,4196.00000,4212.00000,82
2005-03-13 00:00:00+00:00,4204.50000,4217.50000,4199.50000,4217.50000,64
2005-03-14 00:00:00+00:00,4218.50000,4251.60000,4212.50000,4242.60000,219
2005-03-15 00:00:00+00:00,4240.60000,4242.70000,4225.80000,4239.80000,239
2005-03-16 00:00:00+00:00,4240.80000,4254.80000,4216.20000,4234.20000,287
2005-03-17 00:00:00+00:00,4232.20000,4256.10000,4223.30000,4244.30000,169
2005-03-18 00:00:00+00:00,4246.30000,4261.30000,4238.40000,4253.30000,83
2005-03-20 00:00:00+00:00,4255.90000,4269.80000,4251.90000,4269.80000,42
2005-03-21 00:00:00+00:00,4271.80000,4271.90000,4243.10000,4257.10000,127
2005-03-22 00:00:00+00:00,4255.10000,4257.10000,4183.50000,4189.50000,236
2005-03-23 00:00:00+00:00,4187.50000,4193.50000,4149.90000,4177.80000,271
2005-03-24 00:00:00+00:00,4175.80000,4175.80000,4127.00000,4150.90000,118
2005-03-28 00:00:00+00:00,4148.70000,4160.70000,4139.90000,4147.80000,53
2005-03-29 00:00:00+00:00,4149.80000,4159.80000,4090.10000,4092.20000,280
2005-03-30 00:00:00+00:00,4090.20000,4126.30000,4064.40000,4120.30000,334
2005-03-31 00:00:00+00:00,4122.30000,4134.30000,4107.40000,4131.50000,220
2005-04-01 00:00:00+00:00,4137.50000,4154.40000,4133.50000,4150.50000,126
2005-04-03 00:00:00+00:00,4134.00000,4136.00000,4130.10000,4136.00000,8
2005-04-04 00:00:00+00:00,4138.00000,4138.00000,4118.10000,4129.20000,178
2005-04-05 00:00:00+00:00,4127.30000,4151.40000,4121.30000,4151.40000,153
2005-04-06 00:00:00+00:00,4149.40000,4163.30000,4110.60000,4133.60000,198
2005-04-07 00:00:00+00:00,4135.60000,4155.70000,4116.70000,4155.70000,173
2005-04-08 00:00:00+00:00,4157.70000,4171.70000,4145.80000,4159.80000,116
2005-04-10 00:00:00+00:00,4148.30000,4152.30000,4144.30000,4146.30000,14
