time,open,high,low,close,volume
2005-01-04 00:00:00+00:00,4818.40000,4845.40000,4811.90000,4828.40000,3474
2005-01-05 00:00:00+00:00,4810.90000,4817.40000,4798.90000,4812.90000,2837
2005-01-06 00:00:00+00:00,4801.40000,4825.90000,4801.40000,4821.90000,2273
2005-01-07 00:00:00+00:00,4813.40000,4853.40000,4809.90000,4843.90000,3383
2005-01-10 00:00:00+00:00,4831.00000,4852.00000,4824.50000,4831.50000,2715
2005-01-11 00:00:00+00:00,4826.00000,4834.00000,4795.50000,4800.00000,3665
2005-01-12 00:00:00+00:00,4804.60000,4812.60000,4753.10000,4779.60000,3127
2005-01-13 00:00:00+00:00,4795.60000,4796.60000,4770.60000,4787.60000,2955
2005-01-14 00:00:00+00:00,4769.60000,4820.10000,4767.60000,4812.60000,2862
2005-01-17 00:00:00+00:00,4814.20000,4834.70000,4813.20000,4826.20000,1535
2005-01-18 00:00:00+00:00,4820.70000,4824.20000,4785.70000,4816.70000,3613
2005-01-19 00:00:00+00:00,4821.20000,4830.70000,4796.70000,4800.70000,2760
2005-01-20 00:00:00+00:00,4780.70000,4790.20000,4766.20000,4785.20000,2937
2005-01-21 00:00:00+00:00,4782.30000,4796.80000,4765.30000,4783.80000,3283
2005-01-24 00:00:00+00:00,4764.80000,4795.30000,4748.80000,4785.80000,4005
2005-01-25 00:00:00+00:00,4782.80000,4832.30000,4781.90000,4820.80000,2999
2005-01-26 00:00:00+00:00,4819.90000,4836.90000,4816.90000,4819.90000,3178
2005-01-27 00:00:00+00:00,4824.40000,4839.90000,4811.40000,4835.40000,3228
2005-01-28 00:00:00+00:00,4836.90000,4838.40000,4802.40000,4813.40000,2937
2005-01-31 00:00:00+00:00,4843.00000,4858.50000,4824.50000,4838.50000,3140
2005-02-01 00:00:00+00:00,4831.00000,4883.00000,4826.00000,4880.50000,3958
2005-02-02 00:00:00+00:00,4880.50000,4892.50000,4871.50000,4879.50000,2730
2005-02-03 00:00:00+00:00,4889.00000,4899.00000,4871.00000,4885.50000,2304
2005-02-04 00:00:00+00:00,4899.00000,4921.60000,4891.10000,4912.60000,2619
2005-02-07 00:00:00+00:00,4928.10000,4954.10000,4926.60000,4945.10000,2343
2005-02-08 00:00:00+00:00,4951.10000,4968.10000,4939.10000,4956.60000,2915
2005-02-09 00:00:00+00:00,4964.10000,4979.10000,4950.10000,4964.70000,2554
2005-02-10 00:00:00+00:00,4960.20000,4991.70000,4955.70000,4976.70000,3045
2005-02-11 00:00:00+00:00,4983.20000,5021.20000,4979.20000,5016.20000,2790
2005-02-14 00:00:00+00:00,5016.30000,5026.80000,5004.80000,5022.80000,1965
