time,open,high,low,close,volume
2005-01-02 00:00:00+00:00,1.20510,1.20820,1.20060,1.20090,176
2005-01-03 00:00:00+00:00,1.20080,1.21270,1.20040,1.20820,11196
2005-01-04 00:00:00+00:00,1.20820,1.22720,1.20590,1.22170,21325
2005-01-05 00:00:00+00:00,1.22160,1.23280,1.22120,1.22470,19800
2005-01-06 00:00:00+00:00,1.22470,1.23960,1.22385,1.23560,20494
2005-01-07 00:00:00+00:00,1.23560,1.23820,1.22300,1.23160,19364
2005-01-09 00:00:00+00:00,1.23280,1.23400,1.23170,1.23190,248
2005-01-10 00:00:00+00:00,1.23210,1.23235,1.21840,1.22130,17355
2005-01-11 00:00:00+00:00,1.22130,1.22380,1.21420,1.21900,19487
2005-01-12 00:00:00+00:00,1.21910,1.22150,1.19470,1.20170,20181
2005-01-13 00:00:00+00:00,1.20170,1.20590,1.19950,1.20270,19436
2005-01-14 00:00:00+00:00,1.20270,1.22150,1.20270,1.21750,22644
2005-01-16 00:00:00+00:00,1.21680,1.21790,1.21680,1.21760,139
2005-01-17 00:00:00+00:00,1.21760,1.21975,1.21220,1.21875,10081
2005-01-18 00:00:00+00:00,1.21895,1.22630,1.21800,1.22440,19170
2005-01-19 00:00:00+00:00,1.22430,1.23110,1.21680,1.22895,19740
2005-01-20 00:00:00+00:00,1.22895,1.23670,1.22735,1.23380,21238
2005-01-21 00:00:00+00:00,1.23380,1.23540,1.21840,1.22230,16997
2005-01-23 00:00:00+00:00,1.22120,1.22210,1.22120,1.22180,123
2005-01-24 00:00:00+00:00,1.22170,1.22690,1.21440,1.22410,16579
2005-01-25 00:00:00+00:00,1.22410,1.24090,1.22170,1.23530,20658
2005-01-26 00:00:00+00:00,1.23530,1.23870,1.22780,1.23320,22288
2005-01-27 00:00:00+00:00,1.23320,1.24290,1.23130,1.23790,22651
2005-01-28 00:00:00+00:00,1.23790,1.24700,1.23745,1.23890,17539
2005-01-30 00:00:00+00:00,1.23900,1.24110,1.23880,1.24060,280
2005-01-31 00:00:00+00:00,1.24050,1.24470,1.23630,1.24060,20106
2005-02-01 00:00:00+00:00,1.24050,1.24380,1.23150,1.23190,19160
2005-02-02 00:00:00+00:00,1.23190,1.24160,1.23090,1.23780,18893
2005-02-03 00:00:00+00:00,1.23790,1.24610,1.23760,1.24070,17834
2005-02-04 00:00:00+00:00,1.24070,1.25030,1.23705,1.24960,19425
2005-02-05 00:00:00+00:00,1.24910,1.24910,1.24910,1.24910,1
2005-02-06 00:00:00+00:00,1.24920,1.24980,1.24900,1.24970,227
2005-02-07 00:00:00+00:00,1.24970,1.25820,1.24900,1.25530,17737
2005-02-08 00:00:00+00:00,1.25530,1.25740,1.24550,1.24930,18347
2005-02-09 00:00:00+00:00,1.24940,1.25240,1.24610,1.24800,16679
2005-02-10 00:00:00+00:00,1.24800,1.25600,1.23880,1.24220,18568
2005-02-11 00:00:00+00:00,1.24230,1.24360,1.23600,1.23630,14951
2005-02-13 00:00:00+00:00,1.23730,1.23760,1.23430,1.23700,326
2005-02-14 00:00:00+00:00,1.23700,1.23880,1.22910,1.23450,18442
2005-02-15 00:00:00+00:00,1.23450,1.23720,1.22880,1.23140,19828
2005-02-16 00:00:00+00:00,1.23130,1.24520,1.22910,1.23710,22301
2005-02-17 00:00:00+00:00,1.23710,1.23830,1.22660,1.22870,19278
2005-02-18 00:00:00+00:00,1.22890,1.23360,1.22860,1.23140,16453
2005-02-20 00:00:00+00:00,1.23160,1.23220,1.23130,1.23150,208
2005-02-21 00:00:00+00:00,1.23140,1.23620,1.22790,1.23450,11502
2005-02-22 00:00:00+00:00,1.23450,1.23530,1.22320,1.22650,24058
2005-02-23 00:00:00+00:00,1.22650,1.24985,1.22650,1.24845,25521
2005-02-24 00:00:00+00:00,1.24845,1.24910,1.23790,1.24090,27641
2005-02-25 00:00:00+00:00,1.24090,1.24515,1.23810,1.23850,20146
2005-02-27 00:00:00+00:00,1.23830,1.23960,1.23810,1.23860,201
