time,open,high,low,close,volume
2005-01-02 00:00:00+00:00,1210.40000,1211.40000,1209.60000,1210.90000,63
2005-01-03 00:00:00+00:00,1210.60000,1218.10000,1198.70000,1203.20000,8998
2005-01-04 00:00:00+00:00,1203.50000,1206.50000,1183.80000,1188.30000,10321
2005-01-05 00:00:00+00:00,1188.00000,1192.00000,1179.80000,1181.30000,10246
2005-01-06 00:00:00+00:00,1181.10000,1190.80000,1181.10000,1185.60000,9553
2005-01-07 00:00:00+00:00,1185.40000,1191.60000,1180.70000,1182.90000,9817
2005-01-09 00:00:00+00:00,1184.50000,1185.00000,1183.70000,1184.50000,76
2005-01-10 00:00:00+00:00,1184.70000,1194.00000,1182.50000,1189.00000,8615
2005-01-11 00:00:00+00:00,1189.30000,1190.00000,1179.10000,1185.10000,9379
2005-01-12 00:00:00+00:00,1184.80000,1187.60000,1174.10000,1186.60000,10748
2005-01-13 00:00:00+00:00,1186.40000,1187.10000,1173.70000,1175.40000,8604
2005-01-14 00:00:00+00:00,1175.20000,1184.20000,1174.40000,1181.00000,7776
2005-01-16 00:00:00+00:00,1182.50000,1183.30000,1182.30000,1182.50000,44
2005-01-17 00:00:00+00:00,1182.80000,1184.50000,1182.50000,1183.80000,275
2005-01-18 00:00:00+00:00,1184.10000,1195.30000,1178.30000,1193.60000,8828
2005-01-19 00:00:00+00:00,1193.80000,1194.40000,1174.40000,1176.90000,8640
2005-01-20 00:00:00+00:00,1176.70000,1180.70000,1171.70000,1175.00000,10679
2005-01-21 00:00:00+00:00,1175.20000,1178.50000,1165.00000,1166.50000,9634
2005-01-23 00:00:00+00:00,1167.60000,1167.60000,1166.60000,1166.80000,75
2005-01-24 00:00:00+00:00,1167.10000,1172.10000,1162.10000,1165.40000,10538
2005-01-25 00:00:00+00:00,1165.60000,1173.40000,1165.20000,1169.20000,9055
2005-01-26 00:00:00+00:00,1168.90000,1174.70000,1168.40000,1170.50000,9135
2005-01-27 00:00:00+00:00,1170.20000,1176.00000,1168.30000,1175.00000,9726
2005-01-28 00:00:00+00:00,1174.70000,1175.00000,1164.30000,1173.00000,9525
2005-01-30 00:00:00+00:00,1175.10000,1180.10000,1175.10000,1177.90000,242
2005-01-31 00:00:00+00:00,1177.60000,1180.90000,1175.10000,1179.70000,8600
2005-02-01 00:00:00+00:00,1179.20000,1189.90000,1177.70000,1189.20000,8743
2005-02-02 00:00:00+00:00,1188.90000,1194.20000,1187.20000,1190.50000,8033
2005-02-03 00:00:00+00:00,1190.20000,1191.70000,1184.00000,1189.00000,8439
2005-02-04 00:00:00+00:00,1189.30000,1202.80000,1186.80000,1200.80000,8720
2005-02-06 00:00:00+00:00,1201.10000,1202.40000,1201.10000,1201.60000,57
2005-02-07 00:00:00+00:00,1201.90000,1203.40000,1197.90000,1199.40000,6896
2005-02-08 00:00:00+00:00,1199.70000,1204.70000,1198.40000,1201.20000,7119
