date,open,high,low,close,volume
2019-01-14,2580.3,2589.3,2570.4,2582.6,
2019-01-15,2585.1,2613.1,2585.1,2610.3,
2019-01-16,2614.8,2625.8,2612.7,2616.1,
2019-01-17,2609.3,2645.1,2606.4,2636.0,
2019-01-18,2651.3,2675.5,2647.6,2670.7,
2019-01-20,2676.5,2677.5,2667.4,2668.4,
2019-01-21,2668.1,2669.4,2655.3,2663.3,
2019-01-22,2657.9,2657.9,2617.3,2632.9,
2019-01-23,2643.5,2653.2,2612.9,2638.7,
2019-01-24,2638.8,2647.2,2627.0,2642.3,
2019-01-25,2657.4,2672.4,2657.3,2664.8,
2019-01-28,2645.0,2645.0,2624.1,2643.9,
2019-01-29,2644.9,2650.9,2631.1,2640.0,
2019-01-30,2653.6,2690.4,2648.3,2681.1,
2019-01-31,2685.5,2708.9,2678.6,2704.1,
2019-02-01,2702.3,2716.7,2696.9,2706.5,
2019-02-04,2706.5,2725.0,2698.8,2724.9,
2019-02-05,2728.3,2739.0,2724.0,2737.7,
2019-02-06,2735.1,2738.1,2724.1,2731.6,
2019-02-07,2717.5,2719.3,2687.3,2706.1,
2019-02-08,2692.4,2708.1,2681.8,2707.9,
2019-02-11,2712.4,2718.1,2703.8,2709.8,
2019-02-12,2722.6,2748.2,2722.6,2744.7,
2019-02-13,2750.3,2761.9,2748.6,2753.0,
2019-02-14,2743.5,2757.9,2731.2,2745.7,
2019-02-15,2760.2,2775.7,2760.2,2775.6,
2019-02-17,2777.3,2781.4,2775.3,2778.6,
2019-02-18,2778.1,2780.1,2773.4,2775.9,
2019-02-19,2769.3,2787.3,2767.3,2779.8,
2019-02-20,2779.1,2789.9,2774.1,2784.7,
2019-02-21,2780.2,2781.6,2764.6,2774.9,
2019-02-22,2780.7,2794.2,2779.1,2792.7,
2019-02-25,2804.4,2813.5,2795.0,2796.1,
2019-02-26,2792.4,2803.1,2789.5,2793.9,
2019-02-27,2787.5,2795.8,2775.1,2792.4,
2019-02-28,2788.1,2793.7,2782.5,2784.5,
2019-03-01,2798.2,2808.0,2787.4,2803.7,
2019-03-04,2814.4,2816.9,2767.7,2792.8,
2019-03-05,2794.4,2796.4,2783.0,2789.6,
2019-03-06,2790.3,2790.3,2768.7,2771.4,
2019-03-07,2766.5,2767.3,2739.1,2748.9,
2019-03-08,2730.8,2744.1,2722.3,2743.1,
2019-03-11,2747.6,2784.0,2747.6,2783.3,
2019-03-12,2787.3,2798.3,2786.7,2791.5,
2019-03-13,2799.8,2821.2,2799.8,2810.9,
2019-03-14,2810.4,2815.0,2803.5,2808.5,
2019-03-15,2810.8,2830.7,2810.8,2822.5,
2019-03-18,2822.6,2835.4,2822.0,2832.9,
2019-03-19,2840.8,2852.4,2823.3,2832.6,
2019-03-20,2831.3,2843.5,2812.4,2824.2,
2019-03-21,2819.7,2860.3,2817.4,2854.9,
2019-03-22,2844.5,2846.2,2800.5,2800.7,
2019-03-25,2796.0,2809.8,2785.0,2798.4,
2019-03-26,2812.7,2829.9,2804.0,2818.5,
2019-03-27,2819.7,2825.6,2787.7,2805.4,
2019-03-28,2809.4,2819.7,2798.8,2815.4,
2019-03-29,2828.3,2836.0,2819.2,2834.4,
2019-04-01,2848.6,2869.4,2848.6,2867.2,
2019-04-02,2868.2,2872.9,2858.8,2867.2,
2019-04-03,2876.1,2885.3,2865.2,2873.4,
2019-04-04,2874.0,2881.3,2867.1,2879.4,
2019-04-05,2884.2,2893.2,2883.0,2892.7,
2019-04-08,2888.5,2895.9,2880.8,2895.8,
2019-04-09,2886.6,2886.9,2873.3,2878.2,
2019-04-10,2881.4,2889.7,2879.1,2888.2,
2019-04-11,2891.9,2893.4,2882.0,2888.3,
2019-04-12,2900.9,2910.5,2898.4,2907.4,
2019-04-15,2908.3,2909.6,2896.5,2905.6,
2019-04-16,2912.3,2916.1,2900.7,2907.1,
2019-04-17,2916.0,2918.0,2895.4,2900.4,
2019-04-18,2904.8,2908.4,2891.9,2905.0,
2019-04-19,2910.5,2910.5,2910.5,2910.5,
2019-04-22,2898.8,2909.5,2896.4,2908.0,
2019-04-23,2910.0,2936.3,2908.5,2933.7,
2019-04-24,2934.0,2936.8,2926.1,2927.3,
2019-04-25,2929.0,2933.1,2912.8,2926.2,
2019-04-26,2925.8,2939.9,2917.6,2939.9,
2019-04-29,2940.6,2949.5,2939.4,2943.0,
2019-04-30,2937.1,2948.2,2924.1,2945.8,
2019-05-01,2952.3,2954.1,2923.4,2923.7,
2019-05-02,2922.2,2931.7,2900.5,2917.5,
2019-05-03,2929.2,2947.9,2929.2,2945.6,
2019-05-06,2908.9,2937.3,2898.2,2932.5,
2019-05-07,2913.0,2913.0,2862.6,2884.1,
2019-05-08,2879.6,2898.0,2873.3,2879.4,
2019-05-09,2859.8,2876.0,2836.4,2870.7,
2019-05-10,2863.1,2891.3,2825.4,2881.4,
2019-05-13,2840.2,2840.2,2801.4,2811.9,
2019-05-14,2820.1,2852.5,2820.1,2834.4,
2019-05-15,2820.4,2858.7,2815.1,2851.0,
2019-05-16,2855.8,2892.1,2855.8,2876.3,
2019-05-17,2858.6,2885.5,2854.2,2859.5,
2019-05-20,2841.9,2853.9,2831.3,2840.2,
2019-05-21,2854.0,2868.9,2854.0,2864.4,
2019-05-22,2856.1,2865.5,2851.1,2856.3,
2019-05-23,2836.7,2836.7,2805.5,2822.2,
2019-05-24,2832.4,2841.4,2820.2,2826.1,
2019-05-26,2830.9,2834.9,2829.4,2830.6,
2019-05-27,2829.9,2838.4,2826.6,2833.3,
2019-05-28,2830.0,2840.5,2801.6,2802.4,
2019-05-29,2790.3,2792.0,2766.1,2783.0,
2019-05-30,2786.9,2799.0,2776.7,2788.9,
2019-05-31,2766.1,2769.0,2750.5,2752.1,
2019-06-03,2751.5,2763.1,2728.8,2744.4,
2019-06-04,2762.6,2804.5,2762.6,2803.3,
2019-06-05,2818.1,2827.3,2800.9,2826.1,
2019-06-06,2828.5,2852.1,2822.4,2843.5,
2019-06-07,2852.9,2885.0,2852.9,2873.3,
2019-06-10,2885.8,2904.8,2885.5,2886.7,
2019-06-11,2903.3,2910.6,2878.5,2885.7,
2019-06-12,2882.7,2888.6,2874.7,2879.8,
2019-06-13,2886.2,2895.2,2882.0,2891.6,
2019-06-14,2886.8,2894.4,2879.6,2887.0,
2019-06-17,2889.8,2897.3,2887.3,2889.7,
2019-06-18,2906.7,2930.8,2905.4,2917.8,
2019-06-19,2920.6,2931.7,2911.4,2926.5,
2019-06-20,2949.6,2958.1,2931.5,2954.2,
2019-06-21,2952.7,2964.1,2946.9,2950.5,
2019-06-24,2951.4,2954.9,2944.1,2945.4,
2019-06-25,2945.8,2946.5,2916.0,2917.4,
2019-06-26,2926.1,2932.6,2913.0,2913.8,
2019-06-27,2919.7,2929.3,2918.6,2924.9,
2019-06-28,2932.9,2944.0,2929.1,2941.8,
2019-07-01,2971.4,2977.9,2952.2,2964.3,
2019-07-02,2964.7,2973.2,2955.9,2973.0,
2019-07-03,2978.1,2995.8,2978.0,2995.8,
2019-07-04,2999.4,3003.6,2997.4,3002.6,
2019-07-05,2984.3,2994.0,2968.0,2990.4,
2019-07-08,2979.8,2980.8,2970.1,2975.9,
2019-07-09,2965.5,2981.9,2963.4,2979.6,
2019-07-10,2989.3,3003.0,2984.6,2993.1,
2019-07-11,2999.6,3002.3,2988.8,2999.9,
2019-07-12,3003.4,3013.9,3001.9,3013.8,
2019-07-15,3017.8,3017.8,3008.8,3014.3,
2019-07-16,3012.1,3015.0,3001.1,3004.0,
2019-07-17,3005.1,3005.3,2984.3,2984.4,
2019-07-18,2978.9,2998.3,2973.1,2995.1,
2019-07-19,3004.3,3006.0,2975.9,2976.6,
2019-07-22,2981.9,2990.7,2976.6,2985.0,
2019-07-23,2994.7,3005.9,2988.6,3005.5,
2019-07-24,2998.8,3019.6,2996.8,3019.6,
2019-07-25,3016.3,3016.3,2997.2,3003.7,
2019-07-26,3013.3,3028.0,3012.6,3025.9,
2019-07-29,3024.5,3025.6,3014.3,3021.0,
2019-07-30,3007.7,3017.2,3000.9,3013.2,
2019-07-31,3016.2,3017.4,2958.1,2980.4,
2019-08-01,2980.3,3013.6,2945.2,2953.6,
2019-08-02,2943.9,2945.5,2914.1,2932.1,
2019-08-05,2898.1,2898.1,2822.1,2844.7,
2019-08-06,2861.2,2884.4,2847.4,2881.8,
2019-08-07,2858.6,2892.2,2825.7,2884.0,
2019-08-08,2896.2,2938.7,2894.5,2938.1,
2019-08-09,2930.5,2935.8,2900.1,2918.6,
2019-08-12,2907.1,2907.6,2873.1,2883.8,
2019-08-13,2880.7,2943.3,2877.1,2926.3,
2019-08-14,2894.1,2894.1,2839.6,2840.6,
2019-08-15,2846.2,2856.7,2825.5,2847.6,
2019-08-16,2864.7,2893.6,2864.7,2888.7,
2019-08-19,2913.5,2931.0,2913.5,2923.6,
2019-08-20,2919.0,2923.6,2899.6,2900.5,
2019-08-21,2922.0,2928.7,2917.9,2924.4,
2019-08-22,2930.9,2939.1,2904.5,2922.9,
2019-08-23,2911.1,2927.0,2835.0,2847.1,
2019-08-26,2866.7,2879.3,2856.0,2878.4,
2019-08-27,2893.1,2898.8,2860.6,2869.2,
2019-08-28,2861.3,2890.0,2853.1,2887.9,
2019-08-29,2910.4,2930.5,2905.7,2924.6,
2019-08-30,2937.1,2940.4,2913.3,2926.5,
2019-09-01,2923.5,2923.5,2893.8,2908.9,
2019-09-02,2909.1,2926.5,2890.5,2902.9,
2019-09-03,2909.0,2914.4,2891.9,2906.3,
2019-09-04,2924.7,2938.8,2921.9,2937.8,
2019-09-05,2960.6,2985.9,2960.6,2976.0,
2019-09-06,2980.3,2985.0,2972.5,2978.7,
2019-09-09,2988.4,2989.4,2969.4,2978.4,
2019-09-10,2971.0,2979.4,2957.0,2979.4,
2019-09-11,2981.4,3000.9,2975.3,3000.9,
2019-09-12,3009.1,3020.7,3000.9,3009.6,
2019-09-13,3012.2,3017.3,3002.9,3007.4,
2019-09-16,2996.4,3002.2,2990.7,2998.0,
2019-09-17,2995.7,3006.2,2993.7,3005.7,
2019-09-18,3001.5,3007.8,2978.6,3006.7,
2019-09-19,3010.4,3022.0,3003.2,3006.8,
2019-09-20,3008.4,3016.4,2984.7,2992.1,
2019-09-23,2983.5,2999.1,2982.2,2991.8,
