date,open,high,low,close,volume
2006-04-17,1710.9,1716.7,1684.3,1694.3,
2006-04-18,1699.0,1730.3,1699.0,1726.6,
2006-04-19,1729.7,1734.1,1720.6,1734.0,
2006-04-20,1734.5,1741.3,1724.6,1728.9,
2006-04-21,1736.7,1737.2,1701.6,1709.0,
2006-04-24,1706.5,1711.0,1697.0,1706.4,
2006-04-25,1711.3,1711.3,1694.5,1701.5,
2006-04-26,1704.4,1710.0,1696.5,1702.2,
2006-04-27,1695.0,1727.8,1688.3,1717.1,
2006-04-28,1705.5,1717.5,1699.5,1700.7,
2006-05-01,1706.8,1709.4,1680.5,1686.6,
2006-05-02,1692.9,1697.2,1686.7,1689.9,
2006-05-03,1692.6,1693.5,1679.3,1686.3,
2006-05-04,1688.4,1707.4,1688.4,1701.0,
2006-05-05,1711.6,1716.2,1706.3,1713.8,
2006-05-08,1713.7,1721.1,1712.2,1715.2,
2006-05-09,1711.9,1715.7,1708.0,1711.2,
2006-05-10,1706.2,1707.4,1690.9,1694.8,
2006-05-11,1693.7,1694.5,1653.8,1657.5,
2006-05-12,1649.8,1652.3,1634.7,1635.8,
2006-05-15,1629.3,1640.1,1619.3,1634.8,
2006-05-16,1635.6,1637.7,1618.0,1623.7,
2006-05-17,1611.2,1618.8,1595.6,1598.9,
2006-05-18,1608.0,1612.5,1587.0,1587.1,
2006-05-19,1589.8,1604.5,1575.8,1600.9,
2006-05-22,1588.0,1595.1,1571.1,1584.6,
2006-05-23,1597.5,1601.8,1569.0,1569.0,
2006-05-24,1567.8,1586.6,1554.8,1580.2,
2006-05-25,1590.0,1600.2,1579.2,1599.7,
2006-05-26,1605.2,1606.5,1595.3,1606.4,
2006-05-30,1599.1,1606.4,1571.3,1571.3,
2006-05-31,1575.8,1587.8,1568.2,1579.6,
2006-06-01,1581.1,1616.6,1579.6,1616.6,
2006-06-02,1626.2,1626.3,1599.2,1612.9,
2006-06-05,1606.1,1612.9,1577.5,1577.5,
2006-06-06,1581.9,1583.9,1560.2,1575.4,
2006-06-07,1578.8,1592.4,1563.9,1565.2,
2006-06-08,1555.8,1566.6,1525.8,1561.6,
2006-06-09,1567.9,1575.1,1550.1,1551.0,
2006-06-12,1553.7,1555.1,1520.3,1520.3,
2006-06-13,1523.6,1536.5,1511.5,1516.8,
2006-06-14,1519.3,1531.6,1513.0,1530.3,
2006-06-15,1538.1,1576.8,1530.3,1573.1,754210000.0
2006-06-16,1568.5,1573.1,1554.8,1562.8,1020000000.0
2006-06-19,1568.4,1568.9,1543.8,1548.9,790900000.0
2006-06-20,1549.9,1565.2,1544.3,1548.3,684910000.0
2006-06-21,1550.7,1585.9,1548.3,1573.6,840380000.0
2006-06-22,1571.1,1573.7,1546.1,1554.5,745120000.0
2006-06-23,1551.5,1566.9,1544.1,1551.1,761020000.0
2006-06-26,1553.5,1561.5,1549.1,1556.2,619700000.0
