date,open,high,low,close
2007-11-16,100.0,100.0,100.0,100.0
2007-11-19,100.78399999999999,100.78399999999999,100.78399999999999,100.78399999999999
2007-11-20,100.64693375999998,100.64693375999998,100.64693375999998,100.64693375999998
2007-11-21,101.27497062666238,101.27497062666238,101.27497062666238,101.27497062666238
2007-11-22,101.30737861726291,101.30737861726291,101.30737861726291,101.30737861726291
2007-11-23,101.35600615899921,101.35600615899921,101.35600615899921,101.35600615899921
2007-11-26,102.66147151832712,102.66147151832712,102.66147151832712,102.66147151832712
2007-11-27,101.7909022398517,101.7909022398517,101.7909022398517,101.7909022398517
2007-11-28,101.01729138282882,101.01729138282882,101.01729138282882,101.01729138282882
2007-11-29,101.96281323017212,101.96281323017212,101.96281323017212,101.96281323017212
2007-11-30,101.79967272900383,101.79967272900383,101.79967272900383,101.79967272900383
2007-12-03,102.58963818938089,102.58963818938089,102.58963818938089,102.58963818938089
2007-12-04,102.17927963662336,102.17927963662336,102.17927963662336,102.17927963662336
2007-12-05,101.74603949096408,101.74603949096408,101.74603949096408,101.74603949096408
2007-12-06,101.24137913508888,101.24137913508888,101.24137913508888,101.24137913508888
2007-12-07,100.49624258465461,100.49624258465461,100.49624258465461,100.49624258465461
2007-12-10,100.07013851609568,100.07013851609568,100.07013851609568,100.07013851609568
2007-12-11,101.58319901045904,101.58319901045904,101.58319901045904,101.58319901045904
2007-12-12,100.62425361180031,100.62425361180031,100.62425361180031,100.62425361180031
2007-12-13,99.64216089654914,99.64216089654914,99.64216089654914,99.64216089654914
2007-12-14,99.41099108326915,99.41099108326915,99.41099108326915,99.41099108326915
2007-12-17,100.13470309835535,100.13470309835535,100.13470309835535,100.13470309835535
2007-12-18,100.36701560954356,100.36701560954356,100.36701560954356,100.36701560954356
2007-12-19,101.07359939943474,101.07359939943474,101.07359939943474,101.07359939943474
2007-12-20,100.91188164039563,100.91188164039563,100.91188164039563,100.91188164039563
2007-12-21,99.95927347771031,99.95927347771031,99.95927347771031,99.95927347771031
2007-12-24,99.6234103188252,99.6234103188252,99.6234103188252,99.6234103188252
2007-12-26,99.05754934821428,99.05754934821428,99.05754934821428,99.05754934821428
2007-12-27,99.70736687193855,99.70736687193855,99.70736687193855,99.70736687193855
2007-12-28,100.7124171300077,100.7124171300077,100.7124171300077,100.7124171300077
2007-12-31,101.0508108515645,101.0508108515645,101.0508108515645,101.0508108515645
2008-01-02,102.10173928442077,102.10173928442077,102.10173928442077,102.10173928442077
2008-01-03,102.19158881499106,102.19158881499106,102.19158881499106,102.19158881499106
2008-01-04,102.34692002998985,102.34692002998985,102.34692002998985,102.34692002998985
2008-01-07,102.658054666881,102.658054666881,102.658054666881,102.658054666881
2008-01-08,103.126175396162,103.126175396162,103.126175396162,103.126175396162
2008-01-09,102.75492116473582,102.75492116473582,102.75492116473582,102.75492116473582
2008-01-10,102.22881596837237,102.22881596837237,102.22881596837237,102.22881596837237
2008-01-11,103.03028988556441,103.03028988556441,103.03028988556441,103.03028988556441
2008-01-14,103.18689592619049,103.18689592619049,103.18689592619049,103.18689592619049
2008-01-15,103.93809652853314,103.93809652853314,103.93809652853314,103.93809652853314
2008-01-16,103.44750871291846,103.44750871291846,103.44750871291846,103.44750871291846
2008-01-17,104.35784678959212,104.35784678959212,104.35784678959212,104.35784678959212
2008-01-18,104.29940639538995,104.29940639538995,104.29940639538995,104.29940639538995
2008-01-21,105.43418393697179,105.43418393697179,105.43418393697179,105.43418393697179
2008-01-22,106.15957112245815,106.15957112245815,106.15957112245815,106.15957112245815
2008-01-23,104.54594564139678,104.54594564139678,104.54594564139678,104.54594564139678
